year,scenario,mtco2
2018,Baseline,106.4
2019,Baseline,109.14
2020,Baseline,105.38
2021,Baseline,104.86
2022,Baseline,108.62
2023,Baseline,112.17
2024,Baseline,117.2
2025,Baseline,119.42
2018,FrozenMix2018,105.98
2019,FrozenMix2018,109.49
2020,FrozenMix2018,104.79
2021,FrozenMix2018,107.9
2022,FrozenMix2018,112.86
2023,FrozenMix2018,115.2
2024,FrozenMix2018,121.98
2025,FrozenMix2018,123.93
2018,GrowthServedClean,104.64
2019,GrowthServedClean,104.64
2020,GrowthServedClean,104.64
2021,GrowthServedClean,104.64
2022,GrowthServedClean,104.64
2023,GrowthServedClean,104.64
2024,GrowthServedClean,104.64
2025,GrowthServedClean,104.64
2018,CoalHalvedToGas,98.1
2019,CoalHalvedToGas,101.05
2020,CoalHalvedToGas,96.45
2021,CoalHalvedToGas,96.61
2022,CoalHalvedToGas,100.59
2023,CoalHalvedToGas,103.72
2024,CoalHalvedToGas,108.33
2025,CoalHalvedToGas,110.06
